"Data Source","Gender Statistics",

"Last Updated Date","2020-12-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.477086702864","131.398836727054","130.193258933345","131.051379277344","133.257261135214","130.930936157244","133.021438744038","133.265358461516","133.213681893837","132.950536045638","132.370722540495","133.614321661905","131.720398900848","132.583944727641","133.552275441784","131.787244627432","136.733316377554","132.491600318611","134.899325817902","133.237731476442","132.825325655193","132.641636917401","131.269832041061","130.759640039004","130.887988805169","130.984632081525","130.71729974596","130.587286481566","130.782515531931","131.013087197832",
"Angola","AGO","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5227549473289","55.3399763590203","53.8973523051432","58.0807181885345","59.5590305260079","60.7183062013696","57.8773120330576","60.4759675855761","58.9504490412861","55.629140853278","55.9694788272748","57.3983763931227","55.8886337066789","57.6286573665357","57.6011041585022","56.5609563101346","57.4464018217496","57.7443165053611","58.5079835771845","120.404565107953","96.5382864622854","97.703491284856","97.0074188534949","97.4957629939861","97.878453275826","96.6910260164368","96.8759250517238","96.0285417378238","90.632065502361","85.3136219369163",
"Albania","ALB","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7097655761425","85.6277740540519","87.6931590582459","88.1635195672326","88.8946337970884","88.3721761499903","86.1426195078591","88.4392235978923","88.1256265197774","88.157373520603","89.0663629991172","89.1029285624851","89.4181776747603","89.5956662854312","89.9779342744676","90.1649950141132","90.3046968900908","101.869591920769","108.661300479366","106.885310509438","77.4683629351061","72.0437558847054","81.1693613853672","76.7796250601774","103.046570974566","90.7363955328322","79.8099038669753","78.8290863797622","79.9000765748148","79.7646194842966",
"Andorra","AND","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.866312737439","117.633002627354","119.004167042143","127.496720636001","134.913492739725","131.318533139474","143.644126075272","147.965014567378","147.241690701426","157.394049022236","149.80495926875","134.833425897706","132.789855026324","151.567337207329","154.838250168301","168.966625075731","180.06232481","186.741684694586","209.832939057343","218.952280142757","189.278388879391","181.480059482758","182.324981168134","181.297173151937","170.859779160545","171.07087719427","179.973140692576","183.710758003689","186.738305227257","189.15990774961",
"United Arab Emirates","ARE","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127.024519602012","108.990502966829","101.696202487932","105.644196167043","110.254891655924","105.631988100328","107.391629961629","105.657035779277","100.56572243921","106.77391370564","123.695117503424","131.496677527671","152.774444160783","178.014085789567","200.252866253739","209.138341118652","226.062198602138","215.480831184779","192.555498479072","174.676997002935","177.891269286748","174.640693890524","165.241195428939","165.433503327019","165.871881489164","172.667332682561","211.690586983502","250.946634363207","226.109925412287","216.5927788605",
"Argentina","ARG","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.506023159439","110.136746285346","141.954937412532","133.647093714261","134.647842164794","125.531719600376","137.186239098341","124.294784428294","119.885077672954","121.617346996038","107.616828641487","103.286550990784","128.943794714811","133.067107193591","132.170991189033","147.539411779965","141.585415721227","132.914815100848","129.731735483036","142.017666153815","133.816392603854","149.873070001359","135.184969666255","131.381630973865","131.40202686677","133.891314352748","134.259534722709","133.374275034514","129.062955614881","127.422558985987",
"Armenia","ARM","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136.692760904764","133.027524273594","145.232623658816","123.642508898162","175.322584192909","200.231817167182","197.265751950543","157.803274958098","137.27878289295","128.16925226646","119.38029670009","111.96847942809","104.656763767634","97.0796577762663","91.8368983105774","86.0816194330282","81.0410076937749","105.798436518293","129.247127051002","149.381090428924","128.360153334142","127.835651715076","130.994877785269","145.579894488391","131.088704866814","153.513857354865","135.597876543164","136.445977398933","138.360912687992","140.321971166925",
"American Samoa","ASM","Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
